tokenized_text,encoded_label
[ CLS ] 回复 @ 王羊羊 的 微博 : 是 ， 要 的 就是 安静 的 生存环境 ， 而且 ， 到 北京 五环 25 分钟 车程 ， 938 离 我 住处 只有 300 米 ， 饮食 一条街 更是 北京 饮食 街 的 翻版 ， 应有尽有 [ SEP ] / / @ 王羊羊 的 微博 : 廊坊 是 个 好 地方 ， 紧邻 京津 ， 有点 闹中取静 的 意思 [ SEP ],0
[ CLS ] 录入 [ SEP ] / / @ 广州 Les _ go : 我 捻 依出 戏真系 好多 les 噶 最爱咯 [ SEP ] 好 写实 同时 都 好 向往 [ SEP ] 难得 一部 反映 les 噶 情感 同 面临 噶 困难 噶 一出 粤语 电影 [ SEP ],0
""" [ SEP ] QQ 培训班 群早 盘 操作 提示 : 由于 上周 再收 十字星 , 市场 是 下跌 中继 还是 初步 见底 ？ [ SEP ] 本周 将会 有 一 结果 [ SEP ] 目前 股指 下破 20   30 周线 的 支撑 已 三周 , 5 周线 本周 将 与 20   30 周线 形成 死叉 ， 显示 中期 调整 仍 在 进行 之中 , 市场 重心 下移 的 趋势 难以 改变 , """,0
[ CLS ] 今儿 老爸 逮着 我 一顿 狠念 ！ [ SEP ] 念得 我 各种 烦躁 … … [ SEP ] 我要 不要 考虑 下 降低 回家 的 频率 啊   回来 一次 吵 一次 =   = 真 烦人 ！ ！ ！,1
[ CLS ] 高智 传媒 董事长 ， ? ? ? ? ? ? ? ? ? ? ? [ SEP ] 杂志社 何 智光 先生 （ 右 ） 从 摄影 器材 的 发展史 谈起 ， 数码 全面 取代 胶片 ， 速度 之快 远 超出 想像 ， 关于 纸媒 和 数字化 媒体 的 争论 就 好比 当初 胶片 和 数码 的 争论 [ SEP ] 从 广告 数据 的 投放 看 ， 杂志 份额 一直 在 缩小 ， 传统媒体 必须 求变 [ SEP ] 摄影 之友 目前 已 开始 做 针对 ipad 的 App ， 目前 已有 37 万 订阅 量 [ SEP ],0
[ CLS ] 招聘 : 代写 毕业论文   [ SEP ] 论文 大纲 已拟 好 [ SEP ] 参考 资料齐全 [ SEP ] 字数 一万 以上 [ SEP ] 工资 200   非诚 勿扰   有 意向 请 留言 ( 妈 的 我 是 真的 没空 写 这 逼 玩意儿 了 啊 ! ),1
[ CLS ] 每天 生活 在 欺骗 中   又 要 言说 别人 的 不忠   却 也 离不开   纠缠不清   不知 为何   是 利益 呢 还是 利益 呢 还是 利益 呢   是 假 好人 呢 还是 假 好人 呢 还是 假 好人 呢,1
[ CLS ] 3 号 值班 ， 4 号 5 号 休假 ， 6 号 7 号 8 号 三天 去 任丘 培训 [ SEP ] 三天 满满当当 的 ， 除了 晚上 好像 没事儿 ， 谁 在 任丘 啊 ， 约 我 哇 约 我 哇 ~ ~,2
[ CLS ] 扬州 一 本地 话 节目 ， 以前 看看 还 可以 ， 现在 扫 了 眼 ， 那个 钟挂 那 过段时间 响声 替个 公司 做个 广告 ， 唉 不 晓得 他们 工作人员 怎么 想 的 ， 这么 龊 的 插入 广告 方式 ， 看 扬州 台 的 全 老头 老太 ， 等 过 了 些 年 等 老 人们 仙去 扬州 台 可以 关门 了 阿 ，,1
[ CLS ] 尼玛 ！ ！ ！ ！ [ SEP ] 好好 听 ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ [ SEP ] 我 禁不住 的 鼓鼓掌 [ 鼓掌 ]   [ 鼓掌 ]   [ 鼓掌 ]   [ 鼓掌 ]   [ 鼓掌 ]   [ 鼓掌 ]   [ 鼓掌 ],3
