标签,文本
disgust,。今儿老爸逮着我一顿狠念！。念得我各种烦躁……。我要不要考虑下降低回家的频率啊 回来一次吵一次= =真烦人！！！
disgust,。招聘:代写毕业论文 。。论文大纲已拟好。。参考资料齐全。。字数一万以上。。工资200 非诚勿扰 有意向请留言(妈的我是真的没空写这逼玩意儿了啊!)
disgust,。每天生活在欺骗中 又要言说别人的不忠 却也离不开 纠缠不清 不知为何 是利益呢还是利益呢还是利益呢 是假好人呢还是假好人呢还是假好人呢
happiness,。3号值班，4号5号休假，6号7号8号三天去任丘培训。。。三天满满当当的，除了晚上好像没事儿，谁在任丘啊，约我哇约我哇~~
disgust,。扬州一本地话节目，以前看看还可以，现在扫了眼，那个钟挂那过段时间响声替个公司做个广告，唉不晓得他们工作人员怎么想的，这么龊的插入广告方式，看扬州台的全老头老太，等过了些年等老人们仙去扬州台可以关门了阿，
like,。尼玛！！！！。好好听！！！！！！！！！！！！。我禁不住的鼓鼓掌[鼓掌] [鼓掌] [鼓掌] [鼓掌] [鼓掌] [鼓掌] [鼓掌]
fear,。我遇到小偷了，新疆人，两个。。一个摸我左边的书包，我往左看时，另一个摸我右边的口袋！。真有组织，有纪律。。大家要小心啊，在三里屯的天桥上。[委屈]
disgust,。正在等飞机。。短信通知误人。。登机囗临时变更，从T3这边的F1变到另一边的F1。。中午吃多了，被国航一转场，全消食了。。介要是来得晚可咋办啊！
sadness,。Tomouse：这里的雨洼刚刚干涸／户外刮起的风带着海水的味道／我只知道那个和这个时候的我很是想念那橙色灯光里跳动的家肴／温暖的被褥／还有临睡前流淌的涓涓细语／其实沉默的环境并不可怕／怕的是沉默的心[泪][泪][泪][泪][泪]
anger,。新加坡是举世公认的成功反腐国家，官员们前往考察。。接待者介绍经验：①不让有不良嗜好或品德修养差的人做公务员；②法律规定公务员上任后每年必须申报个人财产；③新任职公务员会被人暗中调查其腐败行为；④严刑峻法使人不敢贪；⑤高薪养廉。。官员一致认为，第五条值得借鉴！
disgust,。当时则是直接从翻来覆去睡不着，到在一个新的地方的床上很困但睡不着，翻来翻去，一会儿觉得床单粗砺（是红黄相杂的老旧西洋花纹），一会儿觉得房间隔音不好，楼上有人咚咚摔倒。。我还看到我的东西都从旅行包里拿出来没整理，摊了房间一地，就像我家和我住过的旅馆房间情形一样，
surprise,。Sexy girl在等人来接她。。我以为会出现一辆豪车..。但竟然是落嘞的旧款旭峰电动车。。怎么了?。好白菜都给猪拱了..
sadness,。哥哥你什么时候能下面给我吃呢 我给你弄过十几回了 你都没有~~~~~~(_)~~~~
surprise,。老爸昨天炖肉把锅弄糊了，今天刷锅，好不容易把漆黑的锅刷的看见原来的颜色后，他漏了！。但是老爸又说了！。这锅不扔，明天再钜上、、、 我：[泪] [泪]
sadness,。下午到台里，吴凤花和方亚芬正在换装。。我刚过去打个招呼，就被德才老师说耽误他们录像。。我那个冤呢。。我说我没采访。。他说聊天也不行，耽误穿服装。。方姐姐说腿好的话就来段对花枪了。
sadness,。好难过 为什么每天都回忆你 为什么每天都想起你 为什么每天都好痴累 早结束了 怎么还在爱
sadness,。为什么我的房间那么干呢，嗓子疼啊~！。今早起来更体现出了我昨天排练的成果，腰酸背痛！！！。不过彭老师今早出门说的那句话我也赞同......
disgust,。说话前想清楚自己什么身份好吗...。别人家的事干你外人什么关系...。您还想要面子就别雷我了.........。长再大我也依旧讨厌你...。敢喷你......
like,。「团队的力量」我愿在我的世界里，无论何时何地，你们都在一起！。i＝爱＝[红桃][爱你]在一起，一起迎着风，欢笑，成长！。[good]当然还有荫姐，一直等你回来！
disgust,。中国这个国家真是没希望了，我刚才放到博客中国上的那篇文章，没有几个看得懂的，全是些浅薄无知之徒，这个国家算是完了。。改革开放这么些年，只抓经济，不搞政治进步和文化建设，最后培养出一批劣质人口，靠这些疯狂式的人来改造社会，只能更坏，只能是更大的灾难。
like,。这家位于槟城George Town，Tunes Hotel斜对面的饼家，家庭式作业，她的咸蛋酥，年糕椰蓉酥，叉烧酥都很不错。[good]
happiness,"。闻闻有粽子味儿,琴头上得栓只黑驴蹄子.....。美么?。昨天在百来公里外闭塞的乡下录音,跟一帮子巫师为伍.饭菜都很好吃,就是晚上8点过后买不到酒了......."
anger,。[吃惊] @青春爱哭的小猪:编教材的要不把孩子送到国外去了，要不心理有些变态。。//@青春爱哭的小猪:我从应试教育走来，然后现在在学习新课改的理念。。我想狠狠的抽自己一耳光~~~
surprise,。OMG，是我不关心八卦太久了吗？！。白天还在跟小黑讨论Jensen过生日，跟大J一起回温哥华机场的事，我忍不住想JQ肯定又燃烧起来了！！。结果刚刚KANA来跟我说八卦：J2周末一起公然出现在某个GAY BAR（CLUB 560），没想到被人给看见了！！！。谁能告诉我这是不是真的啊啊啊啊啊啊，我要疯狂了~~~~~~~~~
disgust,。一直以来自持清高甚至刁钻刻薄的诗人朋友极力向我推荐电视剧《男人帮》，为此看了几集：除了一贯的赵宝刚式贫嘴，整个一群神经质加傻帽，情节高度离谱，表演高度夸张，毫无动容之处。。看不下去了。。责问那位朋友，他说他也觉得不好看了。
disgust,。[问月]把我的疑问重发一下，中国的节日多多少少都在强调一件事，我等祖上都是地里刨食的。。那些重要的日子和未来陶土碗里能装点啥关糸密切。。但并不文艺的周朝姬氏为啥选择在八月拜月呢?。诉求是什么呢?
happiness,。收视提示：2011年5月23日（周一）。CCTV-6 19：35分 《流金岁月》专栏将播出淳哥主演电影《锅碗瓢盆交响曲》，淳迷们记得锁定电影频道留意收看哦！～。（看完电影还有精彩节目可千万不要走开哦，[偷笑] 想要知道请接看下条微博。。。）。淳迷们快快来[围观] ！～[耶]
sadness,。我嗨了····一不小心花了2快钱定制了个您好，您拨打的用户已关机的彩铃！！！。我无奈了！！！。谁给我打电话听到这个彩铃的话就证明！。你是0点到6点之间给我打的！！！。为啥这么晚，或者说这么早就给我打电话！
anger,。报道说：发改委对联合利华实行200万的处罚，缘由为3月份散布涨价信息。。这理由太牵强了点，如果3月份不约谈联合利华不让涨价人家会不涨么？。每次汽油涨价前一样散布信息，怎未见约谈？。怎未见罚款？。为何国企能做的事在私企就不可以了？。政府作为监管机构应秉承三公原则，否则这样的商业环境会影响到经济。
like,。何止有意思啊，绝对有内涵啊。。//@蕾蕾张的微微博:有意思 //@lhf1230:// @宅男宅女爱冷笑话 :不是一般的经典
like,。唐僧是个好领导：人们指责唐僧昏庸，却没有深入认识他的内心世界。。唐僧有崇高的事业目标，坚定不移的意志，严于律己的作风。。对部下宽严相济，有知人之明。。孙悟空本事很大，但是造反派出身，必须严加管束，才能成功成才。。猪八戒的小毛病无碍大局。。沙僧和白龙马各能发挥所长。。这样的好领导哪里去找？
like,。还有两个感激却失联的姐姐。。一个是马总。。第一次上油壶的项目，马总坐镇天津。。我作为一个小土豆和马总住一屋。。为了缓解紧张，每天起床和睡觉，我都会跟自己喊话，生活是一团麻啊。。项目结束的时候，马总跟我说，一团麻，我都要被你搞成一团麻了。。对于我来说，马总是technica活字典。。是我希望到达的高度。
sadness,。新年第二天！。其实十多年来要的不多，就想～宅。。放假只求能安静一下、吃爱吃的、别受气。。但2010年，我看没有一个假期如愿，不全爆就烧香拜佛了，一般都是吃不好、睡不好、人在囧途不说，还途遇囧人。。唉～。或许这就是人生吧，反正苦命的依旧苦命，一切要认命。。男人不难，就不是男人啊～。2011年希望好过点。
happiness,。儿子的学习桌，每天晚上都成了我玩魔兽的笔记本电脑桌了，哈哈，一会儿照个照片发来，拿手机拍吧，虽然效果很烂，但是发的方便。
happiness,。哈哈没夸你，我这人就是实在人说实在话…。//@星库刘海洋:回复@王艺禅V:看你把我夸的，心里热乎乎的。。我才知道说实话还有人夸，更明确了努力方向。//@王艺禅V:转发此微博:哈哈！。你相当幽默拉老大
happiness,。做梦都梦到老板在帮我改proposal...然后瞬间在梦里反应过来我靠下午了答应客户上午打的电话没打，明就走了来不及了怎么办怎么办，然后瞬间醒过来，很高兴的发现天还没亮，于是默念一百遍记得早上到公司就给客户电话电话电话然后踏实的再次睡着了。。。
like,。如果有一天，当爸爸妈妈站也站不稳，走也走不动的时候，请不要催促他们，因为你在慢慢的长大，而他们却在慢慢变老……。请你紧紧握住他们的手，陪他们慢慢地走——就像，当年他们牵着你一样……[心]
surprise,。今天去中关村修电脑，等的时候一个男的进来说要买摄像头，老板就给他拿了一个，他拿着摄像头，逗老板大概1岁半的孩子，举着摄像头让孩子亲他一下，说不然就把他家东西拿走，说着就假装向外走，老板以为闹玩，也没在意，然后，这货就拿这摄像头真走了......。老板一会才缓过来，追出去早没人了··
happiness,。今晚这里将举行《汉诗》走进高校的一个启动仪式，同时，也会有青年诗人即兴朗诵诗歌。。大家边品茶喝咖啡，边听诗歌朗诵，欢迎来坐坐！
disgust,"。初夏, 我正在池塘边上网, 赏莲(有没有), 忽然一阵微风吹来[微风] [微风] [微风] 把我的鼻子塞住了......。马勒戈壁, 抽不了烟了!!!!!"
like,。关心璐儿的朋友们，她现在很好，大家放心，病床上的璐儿像只小猪现在变的超乖……。虽然还在高烧，不过我相信会好起来的：）
sadness,。渐渐成长的我们：习惯了每天上下班一个人坐在公车上，塞上耳塞，看着窗外和我们一样为生活而忙碌奔波的人。。会感慨生活是多么不易，不再是爸妈怀抱里的小孩，已经长大的我们却会被电影里的某个情节而感动。。生活改变了我们，却变不了坚强的外表下那颗敏感而柔弱的心。
surprise,。超神奇的股市信号，不信都不行……。//@SMG陆洋: @I_C_C //@仇芳芳：。//@dobbyzhang:无
disgust,。道不同，不相为谋。。有些人，对他们寄予希望就是浪费时间，嘴上仁义道德，其实只为了自己的利益，而且鼠目寸光。。不陪他玩了。
like,。分享图片谁能告诉我这人到底是谁，我求你们了 谢谢，我会报答大家的，来天津的车票我给你们报了，煎饼果子给你们加8个鸡蛋！！。谢谢了 ，互相问一下
like,。白胡椒河虾=麦虾虾。。。。很野味哦。。。。就是好辣。。。。做的时候都味道刺激味蕾的气味真扑鼻。。。。白胡椒祛湿。。。。黑胡椒很香。。
happiness,。回复@阳光靓女:多谢博友的关注，熙道一定不会辜负大家的期望[太阳] //@阳光靓女:[太阳] 熙道老师的重任在肩，不负重望，童鞋们预祝老师圆满完成拍摄任务！。加油！[闪闪红]
disgust,。中国的人大代表真是很奇特的一类生物。。所谓代表，应该是从某一人群里来，和某一人群的人有相同特性，且代表这一群体的利益。。可事实上恰恰相反，人大代表们几乎是横空出世的，除了一年几次作秀似的调研，始终和人民保持距离，最奇特的是，就没见他们真正为人民争取过利益，倒是代表人民一直在出卖人民。
surprise,。听说SimSimi最近很火？。狗萌萌忍不住去试了试.......。结果发现这货太特么黑了！！。瞧瞧他各种吐槽，这小鸡太凶残.....。注：SimSimi是一个国外开发的聊天app，以小鸡为自己形象。
sadness,。为神马伤到的偏偏是右手食指！…。画画写字打鼓都离不开它啊啊啊啊…。一用力就会把伤口撕裂，创口贴像丢进血缸里泡过一样…。我还要浪费多少创口贴啊…
disgust,。当当买过一次书，发现错了，要求退换，过程痛苦，搭了时间和邮费，结果石沉大海，快两年了。。。这辈子再不沾他们家族
happiness,。回上海喽，刚刚到火车站已误了火车，于是直奔去改签半小时后一班，所幸的是还有位子[呵呵]多出来的二十分钟正好吃顿中饭，东方既白的猪排饭正好特价，比昨天的coco实惠多了[酷]自己是个随性的人，旅途中常常有这样的小意外，随遇而安就好，每个意外都是段独特的经历…。不过，如此还是一个人上路
surprise,。诡异!。日本仙台在7.4级余震后出现怪异光线 环球网记者王欢报道据日本NHK电视台4月7日消息，日本宫城县7日晚11时32分（北京时间10时32分）再次发生7.4级地震。。日本气象厅在地震发生后第一时间发布海啸警报。。宫城县仙台市在此次地震后出现怪异光线，目前尚不清楚光线发出的源头。
like,。瑞兔踏祥云，辞虎庆新春。。佳节之际，文虎给老师拜年啦，祝您及家人新春快乐，平安健康，工作顺心，万事顺意！
like,。大师就是大师！。//@青原随易:手边刚冒出一本百年孤独，好多年前看的，属于世界文学史上里程碑式的作品，现实很魔幻。
disgust,。如果你现在不开始减肥，随着气温的升高，你会发现你人缘越来越好，别人都愿意和你站一起 ---- 显瘦！。天气回暖， 必须求掉肉！！！[抓狂]
like,。这次澳网感觉大P和莎娃签都一般，大P又和奶牛在一个1/4区，恐怕进四强难度不小；。莎娃则一路的对手都需提防，尤其从第二轮开始，可能遭遇去年中网淘汰自己的维斯尼娜或近来状态不错的拉扎诺；。不过这届比赛从首轮就不乏焦点战，沃兹对杜尔科，萨芬娜对小克，休伊特对纳班，场场看点十足啊！
like,。今天终于换了个新发型，要是能顺利通过审核，我就不用剪头发啦！。保佑保佑[蜡烛][蜡烛][话筒]祈祷祈祷[奥特曼]
like,。有没有人看过罗伯特布列松导演的《Lancelot du Lac》，豆瓣上的译名是《武士兰士诺》...。是法语的...。我找了好久没有找到;。好想看呐混蛋
happiness,。哇~~麦扣田你好呀XDD 不顾一切追的人很多捏[泪] 不过开心最重要！！。生活如此多娇~~用力享受吧哦耶！
like,。110918.KBS2.DreamTeam2晟敏挑战的时候我看到我终于看到晟敏的纹身了，在腰那里。。好性感啊啊啊啊啊啊啊啊啊啊啊，是真的是真的。。[花心]请无视我的截图技术。。看到没看到没？
sadness,。没错...。[心碎][眼泪] 回来以后一直病歪歪??。头晕鼻涕咳嗽睡不着??。就一点都幸福不起来了！！。求健康[大哭][感叹号][感叹号][感叹号]
like,"。110301希澈推te更新：今天是令人骄傲的 在大韩民国历史中,在国史书中 都不会被忘记的&amp;quot;三.一运动纪念日&amp;quot;.。虽然因为下雨的缘故没能挂起太极旗 但却在心中一直记挂着."
